企业,社会维度得分,净利润（亿元）,缴纳税费（亿元）,净利润纳税率（%）,营业收入（亿元）,女性员工比例（%）,研究生及以上学历占比（%）,员工流失率（%）,员工满意度,因公死亡人数,员工培训人次,安全培训人次,科技投入（亿元）,研发总额占营业收入比例,新增专利数,省部级以上科技奖,国家级优质工程奖,捐赠总额（万元）,员工志愿者人数,志愿活动时长（次）,扶贫投入资金（万元）,农民工雇佣人数（万）,毕业生吸纳人数,员工保障（万元）
中国铁建2016,77.85,148.5080 ,41.1870 ,27.7340 ,6293.2700 ,20.9900 ,3.1900 ,3.1300 ,100.0000 ,0.0000 ,378854.0000 ,,94.4300 ,1.5010 ,1502.0000 ,113.0000 ,52.0000 ,1334.0000 ,,,1293.9600 ,232.0000 ,13335.0000 ,7037.0000 
中国铁建2017,82.73,169.1920 ,43.3660 ,25.6310 ,6809.8110 ,20.8900 ,3.5600 ,3.1300 ,100.0000 ,0.0000 ,408669.0000 ,20000.0000 ,103.9770 ,1.5270 ,1719.0000 ,84.0000 ,10.0000 ,1006.6500 ,20000.0000 ,1500.0000 ,1733.7600 ,232.0000 ,15943.0000 ,7181.0000 
中国铁建2018,90.78,198.3840 ,52.6690 ,26.5490 ,7301.2310 ,20.9500 ,3.6690 ,3.1300 ,100.0000 ,0.0000 ,468855.0000 ,22600.0000 ,115.7180 ,1.5850 ,3128.0000 ,88.0000 ,64.0000 ,1902.5200 ,32000.0000 ,1300.0000 ,4003.6000 ,,15000.0000 ,7214.0000 
中国铁建2019,93.69,226.2370 ,54.0300 ,23.8820 ,8304.5220 ,21.1300 ,4.1330 ,3.1300 ,100.0000 ,0.0000 ,511385.0000 ,25800.0000 ,165.2780 ,1.9900 ,3349.0000 ,82.0000 ,11.0000 ,4232.8400 ,38000.0000 ,1350.0000 ,5671.6000 ,,15000.0000 ,7604.0000 
中国铁建2020,82.02,257.0870 ,57.8190 ,22.4900 ,9103.2480 ,19.7900 ,4.5950 ,3.1300 ,100.0000 ,0.0000 ,1059931.0000 ,26790.0000 ,186.0600 ,2.0440 ,5099.0000 ,107.0000 ,61.0000 ,11796.1800 ,39000.0000 ,2095.0000 ,8303.0000 ,,15806.0000 ,8545.0000 
中国铁建2021,84.52,293.1520 ,58.3620 ,19.9090 ,10200.1020 ,21.7600 ,5.3850 ,3.1300 ,100.0000 ,0.0000 ,1124889.0000 ,27980.0000 ,202.5400 ,1.9860 ,6638.0000 ,98.0000 ,11.0000 ,6583.5400 ,37000.0000 ,1987.0000 ,4590.2400 ,,15000.0000 ,7196.0000 
中国铁建2022,84.21,317.5280 ,60.7170 ,19.1220 ,10963.1290 ,21.7300 ,5.7030 ,3.1300 ,100.0000 ,0.0000 ,1182195.0000 ,29260.0000 ,250.0390 ,2.2810 ,7931.0000 ,63.0000 ,74.0000 ,6837.0200 ,24175.0000 ,4118.0000 ,3657.0200 ,,17497.0000 ,7916.0000 
中国铁建2023,75.01,323.2870 ,64.9940 ,20.1040 ,11379.9350 ,21.5400 ,6.0940 ,3.1300 ,100.0000 ,0.0000 ,1263596.0000 ,212600.0000 ,267.2550 ,2.3490 ,6799.0000 ,79.0000 ,86.0000 ,4900.1300 ,55847.0000 ,3366.0000 ,4069.8100 ,,,15332.0000 
中国中铁2010,68.03,74.8800 ,22.1310 ,29.5560 ,4736.6000 ,16.0000 ,1.2780 ,3.1200 ,100.0000 ,0.0000 ,300000.0000 ,150000.0000 ,80.0000 ,1.6890 ,519.0000 ,18.0000 ,15.0000 ,2880.0000 ,20000.0000 ,,188.0000 ,180.0000 ,16267.0000 ,43200.0000 
中国中铁2011,78.57,66.9000 ,23.6070 ,35.2870 ,4607.2000 ,16.0000 ,1.3320 ,3.1200 ,100.0000 ,0.0000 ,300000.0000 ,160000.0000 ,97.0000 ,2.1050 ,519.0000 ,5.0000 ,27.0000 ,,8829.0000 ,337.0000 ,188.0000 ,150.0000 ,13991.0000 ,35919.0000 
中国中铁2012,71.26,73.5000 ,25.5740 ,34.7940 ,4839.9000 ,16.0000 ,1.3320 ,3.1200 ,100.0000 ,0.0000 ,300000.0000 ,2290000.0000 ,64.1790 ,1.3260 ,632.0000 ,334.0000 ,6.0000 ,400.4000 ,,,278.0000 ,150.0000 ,5544.0000 ,33203.0000 
中国中铁2013,69.81,93.7000 ,34.3540 ,36.6640 ,5604.4000 ,16.0000 ,1.3320 ,3.1200 ,100.0000 ,0.0000 ,300000.0000 ,24000.0000 ,85.1580 ,1.5200 ,979.0000 ,583.0000 ,9.0000 ,239.9000 ,13440.0000 ,,223.0000 ,72.0000 ,5446.0000 ,36752.0000 
中国中铁2014,71.26,103.6000 ,46.3700 ,44.7580 ,6125.5900 ,16.0000 ,1.3320 ,3.1200 ,100.0000 ,0.0000 ,240000.0000 ,2290000.0000 ,97.0990 ,1.5850 ,904.0000 ,283.0000 ,24.0000 ,179.9000 ,16000.0000 ,1300.0000 ,,150.0000 ,7600.0000 ,41383.0000 
中国中铁2015,66.95,122.5800 ,45.2050 ,36.8780 ,6241.0400 ,16.0000 ,1.3320 ,3.1200 ,100.0000 ,0.0000 ,300000.0000 ,322326.0000 ,102.8380 ,1.6480 ,1039.0000 ,245.0000 ,32.0000 ,430.6000 ,26000.0000 ,2000.0000 ,300.0000 ,180.0000 ,6470.0000 ,49056.0000 
